rainfall_mm,river_level_m,soil_moisture,slope_degrees,temperature_c,wind_kph,high_risk
15.13,4.58,0.463,15.97,16.63,36.27,0
96.82,2.32,0.491,8.6,15.86,7.93,0
58.11,7.34,0.676,20.17,5.78,35.22,0
57.79,8.19,0.351,24.91,20.47,89.24,0
25.46,6.71,0.291,10.37,37.46,21.91,0
120.63,3.34,0.182,33.24,17.44,0,0
0,0.49,0.791,13.33,21.24,27.29,0
64.62,5.04,0.052,13.15,47.48,7.1,0
60.65,4.74,0.27,21.54,20.33,71.08,0
69.3,3.56,0.062,22.13,30.97,37.19,0
96.16,0,0.081,11.17,30.11,4.26,0
0,1.57,0.361,40.88,18.38,13.54,0
40.59,4.13,0.912,4.47,39.32,25.66,0
84.08,5.4,0.524,7.04,23.38,30.34,0
91.32,4.92,0.269,38.68,8.2,47.85,0
70.4,1.27,0.764,8.9,10.16,48.13,0
52.56,5.88,0.057,35.67,31.78,80.48,0
8.04,5.55,0.289,18.11,17.25,8.62,0
0,1.47,0.698,27.17,6.16,51.92,0
93.3,1.94,0.02,34.41,41.96,0,0
79.66,7.2,0.42,12.52,49.86,0,1
104.75,3.96,0.388,14.45,9.71,64.16,0
0,4.6,0.38,34.22,6.65,67.71,0
112.79,7.36,0.822,37.12,5.05,71.56,0
106.28,5.51,0.592,22.43,24.89,71.15,0
80.22,6.01,0.837,21.81,6.3,2.07,0
45.29,2.41,0.013,18.36,15.11,54.33,0
116.44,3.32,0.146,41.97,18.13,34.97,0
4.43,4.81,0.434,6.51,13.58,0,0
66.2,5.22,0.734,38.45,20.29,51.48,0
127.41,4.56,0.796,26.1,34.7,70.22,0
14.74,4.72,0.725,16.97,46.98,112.18,0
58.11,6.95,0.813,18.48,19.32,0,0
0,9.57,0.753,29.34,11.84,62.74,0
94.47,4.01,0.095,38.03,9.49,50.21,0
111.19,8.48,0.921,3.37,40.17,40.39,1
40.28,5.11,0.312,30.35,29.01,92.11,0
94.58,2.62,0.514,27.79,15.56,33.46,0
57.76,5.58,0.929,34.22,36.68,62.04,0
51.66,5.08,0.308,2.53,21.13,21.25,0
0,6.49,0.171,7.88,32.43,5.74,0
0,4.55,0.221,28.71,25.68,7.61,0
18.82,4.95,0.519,3.32,47.54,74.42,0
121.95,3.6,0.434,13.6,49.97,55.05,0
23.82,6.1,0.281,31.47,5.99,61.93,0
144.95,4.75,0.739,43.81,45.98,42.99,0
118.78,2.02,0.219,36.09,14.86,54.77,0
57.69,0.23,0.647,6.16,9.37,38.09,0
57.82,3.87,0.347,5.91,45.93,28.18,0
79.06,8.69,0.833,16.46,27.58,42.04,1
147.72,1.41,0.919,13.28,44.17,58.15,0
122.1,6.41,0.214,30.43,35.35,0,0
36.68,4.12,0.375,11.9,10.56,5.54,0
51.64,6.94,0.607,16.72,35.37,0,0
92.59,3.72,0.58,29.14,33.59,0,0
41.74,3.5,0.043,1.67,49.82,64.09,0
11.59,3.92,0.352,42.72,36.34,0,0
41.28,0,0.622,37.52,32.7,71.3,0
43.46,2.87,0.422,10.63,21.32,78.25,0
107.79,2.42,0.058,12.41,48.57,106.94,0
81.06,5.44,0.608,43.7,7.28,0,1
62.02,2.85,0.788,24.94,31.39,54.84,0
67.1,0.14,0.566,12.48,49.28,88.5,0
61.52,3.35,0.823,5.93,21.12,56.16,0
90.17,4.69,0.12,18.94,10.11,80.17,0
15.91,7.06,0.429,9.97,32.68,34.09,0
34.35,2.72,0.611,1.4,49.94,66.18,0
110.31,6.98,0.421,40.47,19.5,55.84,0
12.6,2.16,0.677,17.14,31.88,33.44,0
0,6.38,0.109,29.46,44.5,0,0
0,6.73,0.393,37.23,22.94,41.13,0
41.79,6.27,0.906,30.91,26.34,57.42,0
0,6.21,0.354,5.86,7.7,88.29,0
32.7,2.25,0.83,42.35,24.03,54.82,0
45.88,6.6,0.098,22.83,11.96,0,0
21.25,7.08,0.109,12.54,15.18,4.47,0
61.86,1.03,0.641,25.05,32.4,15.54,0
90.36,4.86,0.724,41.47,20.8,53.13,0
45.6,3.71,0.704,43.73,9.13,11.62,0
29.77,4.92,0.296,14.6,47.36,0,0
97.16,7.97,0.047,3.67,24.94,2.51,0
28.09,5.39,0.487,15.53,9.99,24.54,0
16.91,4.14,0.209,44.3,7.47,68.84,0
63.32,0.28,0.275,5.4,27.38,28.31,0
23.14,4.13,0.531,30.06,20.94,0,0
9.02,5.58,0.074,14.09,24.32,3.72,0
43.73,6.97,0.918,7.73,47.64,0,1
23.84,6.54,0.101,19.61,23.02,107.3,0
54.16,2.73,0.74,3.44,33.5,22.44,0
61.87,2.21,0.91,29.04,11.65,66.49,0
66.99,5.78,0.721,3.39,47.81,17.88,0
0.46,3.22,0.647,39.69,33.93,75.82,0
93.58,4.1,0.418,21.1,33.41,58.44,0
44.44,5.29,0.439,1.69,21.59,33.38,0
74.38,4.35,0.564,17.3,31.11,100.0,0
150.28,5.9,0.543,8.47,32.23,0,0
0,5.9,0.796,44.21,8.79,38.99,0
18.66,0,0.498,27.44,21.38,75.15,0
65.39,0.78,0.05,28.39,20.06,23.53,0
29.06,5.75,0.809,43.4,32.12,53.46,0
3.17,0,0.295,29.52,34.8,82.9,0
104.61,6.12,0.611,14.78,10.75,20.22,0
154.3,4.4,0.089,30.17,27.88,74.89,0
94.23,3.81,0.728,8.64,50.0,61.48,1
67.71,1.61,0.513,33.24,28.69,7.39,0
10.25,2.22,0.147,8.14,36.18,0,0
52.58,3.76,0.346,32.38,48.63,0.08,0
61.93,2.72,0.227,43.45,40.3,63.93,0
29.53,1.57,0.419,34.62,40.02,8.55,0
70.77,5.92,0.574,39.29,7.35,11.54,0
119.98,2.92,0.49,5.61,8.77,65.42,0
0,4.1,0.087,40.97,41.75,105.5,0
16.09,5.78,0.355,17.38,8.67,49.88,0
112.9,6.81,0.319,6.57,6.72,79.37,0
92.03,0.82,0.446,27.69,45.76,69.22,0
118.05,9.29,0.578,19.05,39.93,46.38,1
59.66,8.06,0.592,2.83,42.65,1.62,0
15.23,2.09,0.683,13.11,5.07,17.6,0
80.65,7.93,0.497,16.23,47.9,0,0
45.89,4.48,0.83,1.96,22.41,4.39,0
44.51,5.23,0.229,29.57,9.66,0,0
83.05,6.23,0.322,28.93,42.37,5.73,0
26.71,4.71,0.128,32.22,47.46,67.85,0
78.94,0,0.3,13.95,22.92,60.84,0
118.22,5.32,0.272,38.8,7.15,29.39,0
69.71,1.95,0.38,19.79,48.04,33.05,0
39.67,2.26,0.757,12.0,8.72,11.96,0
83.38,4.45,0.279,4.62,19.76,34.24,0
49.52,3.02,0.422,20.12,37.71,86.08,0
0,5.92,0.752,2.58,35.2,10.09,0
54.98,3.02,0.03,38.19,35.51,28.17,0
60.69,8.08,0.344,42.73,6.46,66.82,0
21.41,6.46,0.073,6.2,21.51,33.86,0
65.0,4.36,0.177,23.3,46.11,89.64,0
46.09,2.83,0.581,31.23,49.94,50.82,0
79.76,5.19,0.678,44.88,41.47,145.64,1
20.07,1.08,0.522,13.07,18.5,75.22,0
46.44,3.03,0.343,10.09,49.33,51.72,0
12.45,4.59,0.544,21.03,49.24,94.83,1
96.53,5.51,0.681,21.54,23.49,6.43,0
82.73,6.05,0.07,20.96,28.28,90.53,0
0,3.45,0.729,5.81,27.63,89.66,0
16.93,4.26,0.154,42.06,15.15,85.06,0
51.13,5.49,0.186,43.04,17.35,10.84,0
108.63,6.48,0.562,26.13,12.7,0,0
1.56,9.34,0.039,38.87,8.66,101.98,0
52.15,6.21,0.544,27.81,6.36,78.69,0
31.03,2.85,0.233,36.33,23.27,0,0
80.47,6.67,0.441,15.31,11.47,64.79,0
96.31,4.33,0.379,34.23,28.17,65.45,0
90.31,6.4,0.134,2.28,47.54,68.94,0
149.4,3.25,0.773,42.02,37.45,52.61,1
105.45,4.43,0.835,22.38,9.05,14.69,0
58.47,7.8,0.046,12.66,31.89,73.81,0
53.72,4.81,0.102,6.03,16.9,21.35,0
69.0,4.73,0.534,16.31,17.99,16.06,0
0,3.06,0.592,27.5,10.79,72.78,0
112.29,4.24,0.347,6.49,32.11,36.83,0
124.04,5.46,0.764,23.37,11.7,60.04,0
90.8,3.58,0.373,27.74,42.92,10.37,0
2.89,4.32,0.535,21.37,5.75,36.76,0
21.6,5.57,0.854,39.24,33.32,22.44,0
0,0,0.55,10.24,7.31,2.66,0
41.01,0.26,0.361,36.97,15.9,0,0
72.64,7.01,0.398,18.58,14.18,0,0
0,5.36,0.691,31.76,28.34,0,0
11.64,4.83,0.909,20.68,28.99,0,0
100.81,1.71,0.763,11.9,26.79,72.3,0
22.83,10.18,0.933,34.7,36.72,30.13,0
0,4.91,0.888,32.47,17.95,5.77,0
90.75,2.97,0.328,34.79,11.59,129.23,0
144.83,7.2,0.623,33.63,14.63,58.1,0
21.86,3.74,0.104,33.34,15.77,117.14,0
59.99,6.3,0.095,14.86,26.26,37.02,0
176.19,2.97,0.15,29.38,44.63,0,0
56.38,2.44,0.271,2.66,39.59,30.34,0
48.77,0,0.035,41.47,23.8,87.68,0
138.38,5.58,0.749,8.38,38.71,65.11,1
91.84,4.99,0.573,41.78,20.08,0,0
0,3.7,0.127,22.69,17.28,56.33,0
47.3,0.91,0.683,0.63,20.17,30.36,0
76.62,7.72,0.607,18.25,24.25,28.34,0
160.1,8.49,0.454,42.11,5.31,16.66,1
50.71,6.72,0.553,25.78,16.77,28.67,0
30.13,2.07,0.152,30.87,46.54,90.69,0
31.47,1.18,0.894,16.54,14.94,83.5,0
0,6.59,0.355,31.59,46.08,47.91,0
89.87,0.73,0.646,26.81,40.43,2.65,0
0,8.76,0.107,37.29,45.63,57.85,0
100.2,8.72,0.42,30.61,37.26,0,0
40.66,4.78,0.125,18.69,30.38,0,0
51.63,4.99,0.242,0.14,14.81,77.94,0
37.77,1.53,0.057,40.24,49.38,16.65,0
65.34,5.72,0.609,32.82,48.37,0,1
0,6.27,0.359,3.61,48.39,58.18,0
69.45,3.53,0.943,17.69,10.73,110.83,0
59.84,0,0.44,32.36,24.09,26.65,0
29.67,4.86,0.179,39.38,39.45,95.37,0
0,0.62,0.845,10.83,8.03,13.38,0
12.05,0.03,0.232,1.99,24.75,0,0
59.03,3.14,0.944,10.54,46.24,4.21,0
66.73,0,0.225,39.43,49.36,9.16,0
45.97,7.65,0.562,33.08,12.88,25.7,0
94.57,5.17,0.611,17.15,28.6,33.13,0
46.15,6.02,0.511,10.84,15.14,57.22,0
39.91,4.7,0.392,18.74,28.85,24.48,0
46.17,5.39,0.427,16.7,29.1,50.45,0
11.05,6.88,0.038,3.28,41.21,0.49,0
61.34,6.17,0.862,13.64,45.9,50.4,1
51.01,0.36,0.717,41.15,36.3,34.92,0
57.66,6.7,0.269,20.98,34.19,33.14,0
92.35,2.62,0.763,32.51,39.27,34.93,0
49.7,5.21,0.821,33.36,5.73,1.22,0
47.95,2.45,0.186,10.35,30.64,46.19,0
93.29,3.71,0.725,21.99,37.56,42.46,0
50.47,2.18,0.133,24.59,13.28,126.86,0
107.86,3.69,0.797,3.34,41.81,48.78,1
96.25,7.18,0.065,6.8,14.84,33.11,0
0,0.06,0.867,29.67,5.71,9.7,0
126.63,4.92,0.509,12.9,27.6,33.05,0
81.28,3.92,0.872,23.6,15.84,25.51,0
6.13,8.03,0.075,43.17,25.65,47.31,0
28.92,8.96,0.077,44.63,34.25,79.98,0
18.33,6.48,0.605,31.63,8.72,73.4,0
0,10.5,0.925,40.27,46.36,54.55,1
34.35,1.48,0.258,41.59,35.8,36.69,0
39.56,3.18,0.808,0.7,14.32,85.03,1
99.58,0,0.284,25.38,30.5,75.78,0
12.14,3.88,0.703,35.57,36.02,96.01,0
43.44,5.43,0.221,3.42,32.23,9.45,0
94.24,4.07,0.602,35.26,25.27,51.08,0
34.55,5.63,0.557,17.1,39.75,37.59,0
86.82,5.38,0.361,35.28,11.94,19.54,0
145.38,7.75,0.422,34.26,9.6,76.72,1
4.48,3.45,0.098,4.03,29.94,0,0
59.65,4.2,0.393,35.06,37.62,0,0
57.49,7.53,0.651,7.63,17.1,42.73,0
72.98,6.24,0.285,35.22,21.25,97.52,0
0,4.59,0.435,6.1,5.3,0,0
0,7.91,0.418,19.38,42.06,17.61,0
35.93,7.73,0.661,21.56,12.99,20.37,0
48.95,0.98,0.919,35.19,19.66,33.37,0
0,8.85,0.19,44.88,13.1,45.9,0
39.63,0,0.199,35.9,42.41,106.6,0
73.79,0.91,0.132,13.63,16.37,65.8,0
19.82,6.41,0.568,26.2,29.05,107.65,0
44.27,4.84,0.92,31.57,41.55,0,0
81.28,5.7,0.631,7.49,32.57,0,0
0,0,0.315,35.83,9.77,65.19,0
53.86,1.31,0.653,9.95,21.84,0,0
45.6,3.17,0.948,21.72,18.29,58.02,0
90.62,0.97,0.331,15.44,40.29,12.9,0
113.88,6.8,0.43,3.02,7.01,43.17,0
43.04,5.5,0.76,41.85,38.32,0.88,0
31.89,6.8,0.439,35.9,33.34,64.93,0
0,6.99,0.839,20.23,24.33,69.33,0
42.56,8.34,0.756,25.98,40.98,12.49,0
62.23,5.66,0.637,22.03,48.47,31.53,1
37.7,5.27,0.334,20.6,12.76,15.97,0
107.43,2.87,0.639,14.09,15.74,70.1,0
83.15,6.42,0.567,25.87,24.04,1.69,0
145.85,1.69,0.165,7.51,18.0,70.89,1
0,1.09,0.904,21.81,13.78,11.48,0
28.59,2.4,0.467,31.96,24.97,67.45,0
64.03,2.81,0.031,10.12,17.99,53.68,0
62.43,1.61,0.485,25.77,17.06,0,0
0,3.4,0.722,19.86,14.83,0,0
35.69,2.95,0.831,1.45,16.83,54.68,0
69.9,3.56,0.771,9.44,38.19,19.05,0
18.39,2.81,0.585,35.32,41.61,60.52,0
0,3.82,0.16,44.06,18.17,0,0
0,4.01,0.774,6.1,38.75,34.6,0
43.77,8.1,0.666,5.97,11.58,33.45,0
79.92,2.42,0.135,28.46,33.25,35.18,0
76.3,0.39,0.383,33.74,36.26,72.65,0
0,4.75,0.825,38.12,9.19,93.92,0
26.49,0,0.756,17.9,48.57,63.53,0
38.76,6.33,0.52,5.88,43.36,62.68,0
56.06,3.74,0.595,37.65,5.73,63.54,0
0,6.59,0.406,44.81,45.92,66.9,0
119.86,0.87,0.089,16.22,8.71,19.09,0
114.77,5.62,0.69,33.99,24.32,58.15,0
59.13,5.48,0.564,23.37,25.03,77.07,0
119.86,7.91,0.659,21.5,15.3,98.66,1
89.33,5.95,0.284,17.22,41.6,80.34,0
47.51,3.66,0.535,27.46,12.39,30.61,0
53.9,0,0.585,19.91,14.78,60.31,0
107.09,7.33,0.334,19.32,40.6,45.7,1
55.7,7.89,0.685,12.82,47.36,111.87,1
76.69,3.31,0.577,8.49,22.63,7.81,0
64.04,2.72,0.367,10.85,33.71,111.17,0
97.47,4.68,0.301,17.41,42.75,6.32,0
78.69,7.0,0.938,3.28,31.43,69.31,1
151.95,1.65,0.378,12.89,37.07,48.94,0
2.39,6.56,0.511,6.87,8.76,114.32,0
80.81,4.27,0.31,26.39,39.35,15.43,0
37.18,6.99,0.906,10.74,16.0,60.47,0
43.47,3.95,0.633,29.61,12.9,63.96,0
107.58,4.71,0.329,23.28,42.01,43.04,1
54.87,0,0.696,5.31,45.5,26.13,0
20.24,4.21,0.926,28.24,27.33,33.21,0
72.25,3.33,0.149,34.8,45.24,37.05,0
54.81,4.32,0.816,0.55,7.07,0,0
104.35,10.23,0.034,36.14,37.13,31.06,0
56.09,10.06,0.304,37.17,30.72,83.3,1
85.25,5.08,0.49,2.07,23.04,95.24,0
60.72,2.37,0.082,20.55,21.6,29.16,0
52.8,2.64,0.35,43.73,49.9,54.2,0
0,3.21,0.143,41.96,6.08,0,0
52.83,4.17,0.318,34.15,21.93,42.76,0
90.72,11.36,0.399,43.25,48.77,62.75,1
86.42,4.99,0.803,18.59,45.3,0,1
8.33,3.06,0.605,17.75,31.64,92.68,0
80.46,6.02,0.808,41.67,22.68,60.31,0
23.61,5.03,0.896,6.13,39.66,57.81,0
17.87,5.18,0.115,16.12,39.67,7.72,0
66.76,3.63,0.767,13.69,36.71,25.6,0
70.83,3.39,0.676,43.58,22.83,73.11,0
66.86,3.1,0.904,38.46,30.02,30.15,0
119.13,7.15,0.115,2.78,40.14,49.03,1
0,6.73,0.891,3.78,31.38,57.0,0
84.87,4.47,0.614,36.42,9.14,81.54,0
132.17,8.66,0.048,41.59,24.49,38.44,0
19.85,6.27,0.336,40.87,17.37,26.28,0
8.01,2.22,0.615,22.45,44.73,30.13,0
20.2,6.25,0.611,35.87,16.21,88.81,0
98.85,4.8,0.678,21.59,40.16,19.82,1
39.46,6.29,0.025,26.87,6.32,55.58,0
73.31,1.87,0.34,26.28,15.47,59.21,0
58.09,7.58,0.752,33.17,39.38,88.39,0
99.36,4.23,0.888,44.62,12.82,47.58,1
51.83,2.15,0.562,31.66,20.83,27.35,0
136.2,2.98,0.77,43.67,29.4,49.39,0
112.29,5.67,0.019,21.51,19.93,0,0
39.82,5.82,0.762,39.07,7.68,77.76,0
68.73,5.44,0.5,16.42,8.26,30.47,0
20.05,3.33,0.306,43.91,37.96,0,0
15.81,4.68,0.672,25.29,45.03,20.16,0
13.19,0.54,0.359,33.03,18.25,45.92,0
37.57,1.39,0.808,34.69,30.54,57.68,0
77.34,1.29,0.608,4.68,27.33,38.12,0
32.44,6.3,0.604,43.34,41.97,17.75,0
51.5,4.82,0.199,31.19,20.77,57.88,0
101.13,5.3,0.399,7.49,23.63,68.98,0
0,7.81,0.749,26.01,39.12,50.86,0
58.57,3.88,0.019,11.75,9.71,5.06,0
64.44,5.34,0.895,44.01,20.21,118.72,0
41.52,1.95,0.621,27.33,24.54,74.63,0
100.58,4.09,0.526,41.65,29.31,29.34,0
92.04,5.92,0.522,22.09,7.45,59.99,0
83.23,1.37,0.456,4.36,14.31,0,0
33.01,4.7,0.746,21.19,45.27,40.28,1
22.04,6.06,0.362,8.4,7.01,19.57,0
85.18,1.75,0.144,31.34,9.35,13.71,0
0,6.66,0.216,2.74,22.42,0,0
14.32,0,0.544,10.6,18.45,0,0
112.17,5.2,0.491,25.72,49.22,96.33,1
0,6.42,0.159,9.54,13.67,58.63,0
